day,solar_rad,airTemp,skyTemp,groundTemp
1,0,-3.9,-21.8489,0.6
1.0625,0,-9.8,-21.8489,3
1.125,0,-9.9,-21.8489,3
1.1875,0,-11,-21.8489,3
1.25,0,-10.9,-21.8489,3
1.3125,0,-11.4,-21.8489,3
1.375,17.41,-11.3,-21.8489,3
1.4375,144.64,-9.8,-21.8489,3
1.5,179.46,-8.8,-21.8489,3
1.5625,295.54,-7.9,-21.8489,3.1
1.625,150.45,-8.9,-21.8489,3.1
1.6875,75.45,-10.8,-21.8489,3.1
1.75,0,-12.3,-21.8489,3.1
1.8125,0,-14.5,-21.8489,3
1.875,0,-15.5,-21.8489,3
1.9375,0,-17.4,-21.8489,3
2,0,-18.4,-21.8489,2.9
2.0625,0,-20.1,-21.8489,3
2.125,0,-20.4,-21.8489,2.9
2.1875,0,-21.9,-21.8489,3
2.25,0,-22.1,-21.8489,2.9
2.3125,0,-22.9,-21.8489,2.9
2.375,18.75,-22.3,-21.8489,3
2.4375,200.89,-19.7,-21.8489,2.9
2.5,313.39,-18.2,-21.8489,2.9
2.5625,320.09,-14.6,-22.1122,2.9
2.625,336.16,-13,-22.1899,2.9
2.6875,52.23,-11.8,-22.2153,3
2.75,0,-12.2,-22.2047,2.9
2.8125,0,-13.3,-22.2339,2.9
2.875,0,-12.9,-22.1651,2.8
2.9375,0,-13,-21.7745,2.9
3,0,-13.1,-21.2848,3.1
3.0625,0,-12.3,-20.6874,3
3.125,0,-11.9,-20.0741,2.9
3.1875,0,-10.3,-19.421,2.8
3.25,0,-10.3,-18.7558,2.9
3.3125,0,-9.5,-18.0585,2.9
3.375,3.13,-8.1,-17.4516,2.9
3.4375,18.3,-6.6,-16.8699,2.9
3.5,21.88,-5.3,-16.2031,2.9
3.5625,21.88,-1,-15.3538,3
3.625,23.66,-0.1,-14.4638,3
3.6875,22.32,-0.1,-13.5585,2.9
3.75,0,0.2,-12.5806,3
3.8125,0,0.5,-11.6351,2.9
3.875,0,0.1,-10.6951,3
3.9375,0,-0.6,-9.78443,2.9
4,0,-0.6,-8.86241,2.9
4.0625,0,0.1,-7.93371,2.9
4.125,0,-0.4,-7.03742,2.9
4.1875,0,-1.7,-6.19596,3
4.25,0,-3.4,-5.63463,2.9
4.3125,0,-5.7,-5.24123,3
4.375,11.61,-6.7,-5.13832,2.9
4.4375,99.11,-7,-5.11481,3
4.5,129.46,-7.4,-5.34623,2.9
4.5625,191.96,-6.4,-5.7134,3
4.625,200.45,-6.4,-6.13081,3
4.6875,59.29,-6.4,-6.60651,2.85
4.75,0,-7.3,-6.92615,2.85
4.8125,0,-7.7,-7.34842,2.86
4.875,0,-8.1,-7.63137,2.88
4.9375,0,-9.1,-7.89269,2.88
5,0,-8.5,-8.21762,2.67
5.0625,0,-9,-8.67869,2.87
5.125,0,-9.1,-9.20325,2.85
5.1875,0,-10.5,-9.8198,2.82
5.25,0,-9.2,-10.4208,2.84
5.3125,0,-9.4,-11.0128,2.85
5.375,8.77,-9.1,-11.6724,2.85
5.4375,111.04,-8,-12.5119,2.85
5.5,142.61,-7.6,-13.3975,2.85
5.5625,170.62,-6.3,-14.2288,2.85
5.625,154.69,-6,-14.9786,2.88
5.6875,59.29,-6.4,-15.6427,2.85
5.75,0,-7.3,-16.0551,2.85
5.8125,0,-7.7,-16.4039,2.86
5.875,0,-8.1,-16.5907,2.88
5.9375,0,-9.1,-16.6844,2.88
6,0,-8.5,-16.6008,2.67
6.0625,0,-9,-16.4428,2.87
6.125,0,-9.1,-16.2732,2.85
6.1875,0,-10.5,-16.1618,2.82
6.25,0,-9.2,-16.1306,2.84
6.3125,0,-9.4,-16.0521,2.85
6.375,8.77,-9.1,-16.0956,2.85
6.4375,111.04,-8,-16.3449,2.85
6.5,142.61,-7.6,-16.6503,2.85
6.5625,170.62,-6.3,-16.9411,2.85
6.625,154.69,-6,-17.1601,2.88
6.6875,59.29,-6.4,-17.2715,2.85
6.75,0,-7.3,-17.3028,2.85
6.8125,0,-7.7,-17.3812,2.86
6.875,0,-8.1,-17.3377,2.88
6.9375,0,-9.1,-17.0885,2.88
7,0,-8.5,-16.7831,2.67
7.0625,0,-9,-16.4923,2.87
7.125,0,-9.1,-16.2732,2.85
7.1875,0,-10.5,-16.1618,2.82
7.25,0,-9.2,-16.1306,2.84
7.3125,0,-9.4,-16.0521,2.85
7.375,8.77,-9.1,-16.0956,2.85
7.4375,111.04,-8,-16.3449,2.85
7.5,142.61,-7.6,-16.6503,2.85
7.5625,170.62,-6.7,-16.9608,2.7
7.625,173.66,-7.3,-17.3263,2.7
7.6875,110.27,-8.2,-17.615,2.7
7.75,0,-9.3,-17.9573,2.7
7.8125,0,-10.9,-18.3108,2.6
7.875,0,-11.3,-18.5913,2.7
7.9375,0,-11.7,-18.6624,2.6
8,0,-11.5,-18.6988,2.5
8.0625,0,-11.9,-18.7963,2.5
8.125,0,-12.1,-18.9427,2.5
8.1875,0,-12.6,-19.1201,2.4
8.25,0,-12.5,-19.4656,2.5
8.3125,0,-12.9,-19.7407,2.4
8.375,10.71,-12.5,-20.0647,2.4
8.4375,143.3,-11.2,-20.385,2.4
8.5,188.39,-10.3,-20.7269,2.4
8.5625,154.91,-8.2,-21.1152,2.4
8.625,103.57,-7.9,-21.3022,2.5
8.6875,17.86,-8.8,-21.1107,2.5
8.75,0,-8.8,-20.9082,2.5
8.8125,0,-8.3,-20.6864,2.4
8.875,0,-7.9,-20.3623,2.5
8.9375,0,-6.4,-19.7297,2.5
9,0,-5.5,-19.0251,2.5
9.0625,0,-3.8,-18.2679,2.5
9.125,0,-2.9,-17.3614,2.5
9.1875,0,-1.4,-16.4274,2.5
9.25,0,-0.1,-15.5077,2.5
9.3125,0,0.7,-14.5764,2.6
9.375,0.89,2.1,-13.6519,2.5
9.4375,22.32,4.2,-12.5544,2.5
9.5,19.2,4.7,-11.4237,2.6
9.5625,25,6.8,-10.2135,2.5
9.625,14.73,8.2,-8.91071,2.6
9.6875,1.79,7.2,-7.61919,2.6
9.75,0,2.5,-6.5786,2.5
9.8125,0,-1,-5.73066,2.8
9.875,0,-2,-4.92517,2.8
9.9375,0,-4.8,-4.37381,2.8
10,0,-5.6,-3.8831,2.8
10.0625,0,-7,-3.60001,2.8
10.125,0,-7.9,-3.60599,2.8
10.1875,0,-8.9,-3.97523,2.8
10.25,0,-9.2,-4.47202,2.8
10.3125,0,-10.2,-5.04739,2.8
10.375,7.14,-10.9,-5.65195,2.8
10.4375,170.98,-10.8,-6.35565,2.9
10.5,325.89,-9.3,-7.09673,2.9
10.5625,377.23,-7.7,-7.9317,2.9
10.625,329.46,-7.2,-8.83812,2.9
10.6875,114.73,-7,-9.77217,2.9
10.75,0,-7.8,-10.7263,2.9
10.8125,0,-8.9,-11.6577,2.9
10.875,0,-9,-12.5821,2.9
